PL	Customer Code	Order Number	Order Entry Date	Customer Wish Date	Confirmed Delivery Date	Requested Order Lead Time (in d)	Confirmed Order Lead Time (in d)	Agreed Liability (in w)	Order quantity	Product Information (Basic_Type)	Sales product
67	C18	1113966548	12.2017	1.2019	1.2019	352	356	16	7500	BT48	SP269
67	C120	1114357607	3.2018	3.2019	3.2019	352	352	(blank)	20000	BT15	SP575
67	C120	1114357607	3.2018	3.2019	3.2019	352	352	(blank)	170000	BT15	SP575
67	C120	1114357607	3.2018	3.2019	3.2019	352	352	(blank)	40000	BT15	SP575
67	C120	1114357607	3.2018	3.2019	3.2019	352	352	(blank)	150000	BT15	SP575
67	C120	1114357607	3.2018	3.2019	3.2019	352	352	(blank)	260000	BT15	SP575
67	C148	1114490185	4.2018	4.2019	4.2019	352	352	12	5000	BT171	SP24
67	C101	1114501974	4.2018	4.2019	4.2019	352	352	39	8000	BT7	SP15
67	C113	1114527933	4.2018	4.2019	4.2019	352	352	39	2500	BT11	SP29
67	C113	1114527933	4.2018	4.2019	4.2019	352	352	39	30000	BT11	SP29
67	C8	1114611888	4.2018	5.2019	5.2019	352	352	26	18000	BT49	SP368
67	C17	1114623841	4.2018	5.2019	5.2019	352	352	(blank)	3000	BT7	SP12
67	C8	1114698303	5.2018	5.2019	5.2019	352	352	26	6000	BT159	SP6
67	C51	1115017024	7.2018	7.2019	7.2019	352	352	39	25000	BT10	SP27
67	C13	1115092715	8.2018	8.2019	8.2019	352	357	20	4000	BT6	SP14
67	C117	1115167458	9.2018	9.2019	9.2019	352	352	16	2500	BT91	SP524
67	C117	1115167458	9.2018	9.2019	9.2019	352	355	16	2500	BT91	SP524
67	C113	1115188940	9.2018	9.2019	9.2019	352	352	98	27500	BT11	SP29
67	C18	1115289943	10.2018	10.2019	10.2019	352	352	15	3800	BT71	SP397
67	C158	1112333000	2.2017	2.2018	3.2018	352	375	14	2000	BT76	SP172
67	C158	1112333000	2.2017	2.2018	3.2018	352	375	14	2000	BT76	SP172
67	C158	1112333000	2.2017	2.2018	3.2018	352	375	14	6000	BT76	SP172
67	C18	1113261552	8.2017	8.2018	8.2018	352	359	20	1000	BT41	SP212
67	C8	1113657663	10.2017	11.2018	11.2018	352	352	14	6570	BT31	SP166
67	C136	1113678657	10.2017	11.2018	11.2018	352	364	14	2000	BT76	SP172
67	C136	1113678657	10.2017	11.2018	11.2018	352	364	14	4000	BT76	SP172
67	C16	1113781062	11.2017	11.2018	11.2018	352	352	15	1500	BT41	SP150
67	C166	1114101137	1.2018	2.2019	2.2019	352	352	26	20000	BT151	SP126
67	C107	1114322504	3.2018	3.2019	3.2019	352	352	16	750	BT188	SP552
67	C107	1114322506	3.2018	3.2019	3.2019	352	352	16	750	BT188	SP552
67	C107	1114322507	3.2018	3.2019	3.2019	352	352	16	750	BT188	SP552
67	C41	1114633031	4.2018	5.2019	5.2019	352	352	16	15000	BT43	SP165
67	C51	1114672622	5.2018	5.2019	5.2019	352	352	39	2500	BT61	SP61
67	C3	1115095283	8.2018	8.2019	8.2019	352	352	8	7500	BT41	SP150
67	C3	1115095342	8.2018	8.2019	8.2019	352	352	8	7500	BT41	SP150
67	C3	1115095347	8.2018	8.2019	8.2019	352	352	8	7500	BT41	SP150
67	C3	1115095442	8.2018	8.2019	8.2019	352	352	8	3000	BT41	SP150
67	C3	1115095469	8.2018	8.2019	8.2019	352	352	8	3000	BT41	SP150
67	C18	1115121485	8.2018	8.2019	8.2019	352	352	99	14000	BT147	SP216
67	C18	1115121485	8.2018	8.2019	8.2019	352	352	99	2000	BT147	SP216
67	C101	1115163046	8.2018	9.2019	9.2019	352	352	52	2500	BT96	SP512
67	C27	1115201121	9.2018	9.2019	9.2019	352	352	18	30000	BT141	SP221
67	C27	1115201121	9.2018	9.2019	9.2019	351	351	18	30000	BT141	SP221
67	C27	1115201121	9.2018	9.2019	9.2019	351	351	18	30000	BT141	SP221
