url;date;time;duration;duration (min.);entity;peak live viewers;minutes viewed;unique viewers;video views;10-sec. views;avg. % watch time;followers;people reached;reactions;comments;shares;engagements;description
https://www.facebook.com/Novasports.gr/videos/2201442536536850/;Sunday, 15 July 2018;20:14;37:27;38;Novasports.gr;60;5.912;5.714;5.846;2.544;00:15;91;32.327;76;508;4;588;Live Now Mundial -Fan Zone, Post Game, Γαλλία-Κροατία, Κυριακή 15/7
https://www.facebook.com/Novasports.gr/videos/2201427286538375/;Sunday, 15 July 2018;17:30;28:47;29;Novasports.gr;73;4.459;4.267;4.437;1.918;00:13;90;30.315;39;104;2;145;Live Now Mundial - Fan Zone, Pre Game, Γαλλία-Κροατία, Κυριακή 15/7
https://www.facebook.com/Novasports.gr/videos/2199720326709071/;Saturday, 14 July 2018;19:00;29:20;30;Novasports.gr;57;4.651;3.920;4.058;1.815;00:14;95;29.079;43;327;3;373;Live Now Mundial - Fan Zone, Post Game, Βέλγιο-Αγγλία, Σάββατο 14/7
https://www.facebook.com/Novasports.gr/videos/2199518300062607/;Saturday, 14 July 2018;16:30;28:56;29;Novasports.gr;65;4.068;3.654;3.756;1.712;00:14;95;28.100;38;86;2;126;Live Now Mundial - Fan Zone, Pre Game, Βέλγιο-Αγγλία, Σάββατο 14/7
https://www.facebook.com/Novasports.gr/videos/2194548867226217/;Wednesday, 11 July 2018;23:42;24:06;25;Novasports.gr;126;5.000;4.704;4.994;2.314;00:16;89;27.609;62;451;3;516;Live Now Mundial - Fan Zone, Post Game, Κροατία-Αγγλία, Τετάρτη 11/07
https://www.facebook.com/Novasports.gr/videos/2194544660559971/;Wednesday, 11 July 2018;20:30;29:41;30;Novasports.gr;59;3.877;3.122;3.262;1.517;00:17;94;21.587;39;185;2;226;Live Now Mundial - Fan Zone, Pre Game, Κροατία-Αγγλία, Τετάρτη 11/07
https://www.facebook.com/Novasports.gr/videos/2193260887355015/;Tuesday, 10 July 2018;23:00;26:26;27;Novasports.gr;88;5.227;5.259;5.259;2.352;00:14;90;33.382;128;248;4;380;Live Now Mundial - Fan Zone, Post Game, Γαλλία-Βέλγιο, Τρίτη 10/7
https://www.facebook.com/Novasports.gr/videos/2193247920689645/;Tuesday, 10 July 2018;20:30;31:04;32;Novasports.gr;88;4.843;3.412;3.541;1.771;00:20;90;22.814;66;101;3;170;Live Now Mundial - Fan Zone, Pre Game, Γαλλία-Βέλγιο, Τρίτη 10/7
https://www.facebook.com/Novasports.gr/videos/2188185517862552/;Saturday, 7 July 2018;23:54;27:54;28;Novasports.gr;67;3.463;3.304;3.330;1.535;00:16;95;21.826;38;194;1;233;Live Now Mundial - Fan Zone, Ρωσία-Κροατία, Σάββατο 07/07
https://www.facebook.com/Novasports.gr/videos/2188182697862834/;Saturday, 7 July 2018;19:00;35:45;36;Novasports.gr;60;3.770;2.723;2.795;1.410;00:21;91;15.927;27;70;2;99;Live Now Mundial - Fan Zone, Mixed Game, Σουηδία-Αγγλία & Ρωσία-Κροατία, Σάββατο 07/07
https://www.facebook.com/Novasports.gr/videos/2188179601196477/;Saturday, 7 July 2018;16:31;25:21;26;Novasports.gr;69;2.516;2.398;2.403;1.124;00:20;93;12.671;33;68;1;102;Live Now Mundial - Fan Zone, Pre Game, Σουηδία-Αγγλία, Σάββατο 07/07
https://www.facebook.com/Novasports.gr/videos/2186755544672216/;Friday, 6 July 2018;23:00;38:47;39;Novasports.gr;113;6.510;5.421;5.467;2.510;00:18;92;31.449;125;427;5;557;Live Now Mundial - Fan Zone, Βραζιλία-Βέλγιο, Παρασκευή 6/7
https://www.facebook.com/Novasports.gr/videos/2186194828061621/;Friday, 6 July 2018;19:00;38:39;39;Novasports.gr;85;5.601;4.243;4.360;2.173;00:21;94;24.964;26;91;0;117;Live Now Mundial - Mixed Zone, Fan Zone, Mixed Game, Ουρουγουάη-Γαλλία & Βραζιλία-Βέλγιο, Παρασκευή 06/07
https://www.facebook.com/Novasports.gr/videos/2186190538062050/;Friday, 6 July 2018;16:30;24:56;25;Novasports.gr;67;4.018;3.309;3.354;1.621;00:18;95;22.472;45;79;2;126;Live Now Mundial - Fan Zone, Pre Game, Ουρουγουάη-Γαλλία, Παρασκευή 06/07
https://www.facebook.com/Novasports.gr/videos/2181020391912398/;Tuesday, 3 July 2018;23:53;32:51;33;Novasports.gr;128;6.269;4.607;4.882;2.378;00:23;90;24.171;88;484;2;574;Live Now Mundial - Fan Zone, Κολομβία-Αγγλία, Τρίτη 03/07
https://www.facebook.com/Novasports.gr/videos/2181014971912940/;Tuesday, 3 July 2018;19:00;28:24;29;Novasports.gr;81;4.774;3.826;3.826;1.924;00:18;85;22.586;82;110;4;196;Live Now Mundial - Fan Zone, Mixed Game, Σουηδία-Ελβετία & Κολομβία-Αγγλία, Τρίτη 03/07
https://www.facebook.com/Novasports.gr/videos/2181012405246530/;Tuesday, 3 July 2018;16:30;25:09;26;Novasports.gr;85;5.440;6.093;6.258;2.827;00:17;81;25.086;141;147;5;293;Live Now Mundial - Fan Zone, Pre Game, Σουηδία-Ελβετία, Τρίτη 03/07
https://www.facebook.com/Novasports.gr/videos/2179670718714032/;Monday, 2 July 2018;22:59;33:46;34;Novasports.gr;143;8.137;6.356;6.356;3.111;00:21;89;33.206;125;972;3;1.100;Live Now Mundial - Fan Zone, Βέλγιο-Ιαπωνία, Δευτέρα 2/7
https://www.facebook.com/Novasports.gr/videos/2179661835381587/;Monday, 2 July 2018;19:00;30:58;31;Novasports.gr;65;4.856;3.543;3.652;1.790;00:22;83;18.754;81;137;3;221;Live Now Mundial - Fan Zone, Mixed Game, Βραζιλία-Μεξικό & Βέλγιο-Ιαπωνία, Δευτέρα 2/7
https://www.facebook.com/Novasports.gr/videos/2179650948716009/;Monday, 2 July 2018;16:30;32:01;33;Novasports.gr;82;5.489;4.798;4.798;2.080;00:16;89;30.129;101;192;4;297;Live Now Mundial - Fan Zone, Pre Game, Βραζιλία-Μεξικό, Δευτέρα 2/7
https://www.facebook.com/Novasports.gr/videos/2178138272200610/;Sunday, 1 July 2018;23:50;32:21;33;Novasports.gr;118;5.807;5.255;5.395;2.485;00:18;93;29.528;100;321;3;424;Live Now Mundial - Fan Zone, Κροατία-Δανία, Κυριακή 1/7
https://www.facebook.com/Novasports.gr/videos/2178120248869079/;Sunday, 1 July 2018;19:45;33:14;34;Novasports.gr;117;6.658;6.497;6.576;3.216;00:19;94;29.942;81;185;3;269;Live Now Mundial - Fan Zone, Mixed Game, Ισπανία-Ρωσία & Κροατία-Δανία, Κυριακή 1/7
https://www.facebook.com/Novasports.gr/videos/2177516182262819/;Sunday, 1 July 2018;16:30;29:07;30;Novasports.gr;67;4.904;5.003;5.013;2.299;00:16;94;29.239;60;100;1;161;Live Now Mundial - Fan Zone, Pre Game, Ισπανία-Ρωσία, Κυριακή 1/7
https://www.facebook.com/Novasports.gr/videos/2176298725717898/;Saturday, 30 June 2018;23:00;40:45;41;Novasports.gr;71;5.077;4.299;4.439;1.974;00:18;90;35.601;131;536;3;670;Live Now Mundial - Fan Zone, Ουρουγουάη-Πορτογαλία, Σάββατο 30/6
https://www.facebook.com/Novasports.gr/videos/2176147249066379/;Saturday, 30 June 2018;19:00;31:39;32;Novasports.gr;109;6.525;4.283;4.480;2.265;00:22;94;29.436;73;165;3;241;Live Now Mundial - Fan Zone, Mixed Game Γαλλία-Αργεντινή & Ουρουγουάη-Πορτογαλία, Σάββατο 30/6
https://www.facebook.com/Novasports.gr/videos/2175933895754381/;Saturday, 30 June 2018;16:30;28:07;29;Novasports.gr;92;4.689;4.068;4.122;1.928;00:16;95;30.264;61;123;2;186;Live Now Mundial - Fan Zone, Pre Game Γαλλία-Αργεντινή, Σάββατο 30/6
https://www.facebook.com/Novasports.gr/videos/2172459992768438/;Thursday, 28 June 2018;23:00;31:36;32;Novasports.gr;112;6.866;5.487;5.533;2.843;00:22;86;30.886;195;1.088;4;1.287;Live Now Mundial - Fan Zone, Αγγλία-Βέλγιο & Παναμάς-Τυνησία, Πέμπτη 28/6
https://www.facebook.com/Novasports.gr/videos/2172456929435411/;Thursday, 28 June 2018;19:00;28:45;29;Novasports.gr;108;6.723;5.127;5.318;2.681;00:20;84;28.746;145;286;6;437;Live Now Mundial - Fan Zone, Mixed Game Σενεγάλη-Κολομβία & Ιαπωνία-Πολωνία, Πέμπτη 28/6
https://www.facebook.com/Novasports.gr/videos/2172453509435753/;Thursday, 28 June 2018;16:30;27:19;28;Novasports.gr;58;4.321;3.032;3.039;1.556;00:22;88;16.855;40;170;1;211;Live Now Mundial - Fan Zone, Pre Game Σενεγάλη-Κολομβία & Ιαπωνία-Πολωνία, Πέμπτη 28/6
https://www.facebook.com/Novasports.gr/videos/2170816312932806/;Wednesday, 27 June 2018;23:00;34:29;35;Novasports.gr;127;8.906;6.622;6.672;3.291;00:25;87;32.050;167;1.256;3;1.426;Live Now Mundial - Fan Zone, Σερβία-Βραζιλία & Ελβετία-Κόστα Ρίκα, Τετάρτη 27/6
